drug,drug_class,nutrient,interaction_type,confidence,mechanism
famotidine,H2 Blocker,Calcium,BLOCKS_ABSORPTION,ESTABLISHED,"Gastric acid required for calcium salt dissolution; H2 blockade raises gastric pH, reducing ionized Ca²⁺ available for absorption via TRPV6/CaT1 in duodenum"
famotidine,H2 Blocker,Iron,BLOCKS_ABSORPTION,ESTABLISHED,Gastric acid converts Fe³⁺ to absorbable Fe²⁺; elevated pH impairs non-heme iron reduction and DMT1/SLC11A2-mediated uptake
famotidine,H2 Blocker,Zinc,BLOCKS_ABSORPTION,PROBABLE,Zinc absorption partially pH-dependent; reduced acid may decrease Zn²⁺ liberation from food matrices and ZIP4/SLC39A4 transport
famotidine,H2 Blocker,Magnesium,BLOCKS_ABSORPTION,PROBABLE,Chronic acid suppression associated with hypomagnesemia; impaired TRPM6/7 channel-mediated Mg²⁺ absorption in distal intestine
famotidine,H2 Blocker,Vitamin B12,BLOCKS_ABSORPTION,ESTABLISHED,Gastric acid + pepsin required to cleave B12 from food proteins; acid suppression prevents B12 release for intrinsic factor binding
famotidine,H2 Blocker,Folate (B9),BLOCKS_ABSORPTION,PROBABLE,Acidic pH optimizes polyglutamate hydrolysis by jejunal conjugase; elevated pH reduces folate monoglutamate generation for PCFT/SLC46A1 uptake
famotidine,H2 Blocker,Chromium,BLOCKS_ABSORPTION,THEORETICAL,Chromium absorption may be partially pH-dependent; acid suppression could reduce Cr³⁺ solubility
famotidine,H2 Blocker,Phosphorus,BLOCKS_ABSORPTION,THEORETICAL,Phosphate absorption partially acid-dependent for liberation from food
famotidine,H2 Blocker,Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction; vitamin C absorption via SLC23A1 is pH-independent
cimetidine,H2 Blocker,Calcium,BLOCKS_ABSORPTION,ESTABLISHED,"Gastric acid required for calcium salt dissolution; H2 blockade raises gastric pH, reducing ionized Ca²⁺ available for absorption via TRPV6/CaT1 in duodenum"
cimetidine,H2 Blocker,Iron,BLOCKS_ABSORPTION,ESTABLISHED,Gastric acid converts Fe³⁺ to absorbable Fe²⁺; elevated pH impairs non-heme iron reduction and DMT1/SLC11A2-mediated uptake
cimetidine,H2 Blocker,Zinc,BLOCKS_ABSORPTION,PROBABLE,Zinc absorption partially pH-dependent; reduced acid may decrease Zn²⁺ liberation from food matrices and ZIP4/SLC39A4 transport
cimetidine,H2 Blocker,Magnesium,BLOCKS_ABSORPTION,PROBABLE,Chronic acid suppression associated with hypomagnesemia; impaired TRPM6/7 channel-mediated Mg²⁺ absorption in distal intestine
cimetidine,H2 Blocker,Vitamin B12,BLOCKS_ABSORPTION,ESTABLISHED,Gastric acid + pepsin required to cleave B12 from food proteins; acid suppression prevents B12 release for intrinsic factor binding
cimetidine,H2 Blocker,Folate (B9),BLOCKS_ABSORPTION,PROBABLE,Acidic pH optimizes polyglutamate hydrolysis by jejunal conjugase; elevated pH reduces folate monoglutamate generation for PCFT/SLC46A1 uptake
cimetidine,H2 Blocker,Chromium,BLOCKS_ABSORPTION,THEORETICAL,Chromium absorption may be partially pH-dependent; acid suppression could reduce Cr³⁺ solubility
cimetidine,H2 Blocker,Phosphorus,BLOCKS_ABSORPTION,THEORETICAL,Phosphate absorption partially acid-dependent for liberation from food
cimetidine,H2 Blocker,Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction; vitamin C absorption via SLC23A1 is pH-independent
ranitidine,H2 Blocker,Calcium,BLOCKS_ABSORPTION,ESTABLISHED,"Gastric acid required for calcium salt dissolution; H2 blockade raises gastric pH, reducing ionized Ca²⁺ available for absorption via TRPV6/CaT1 in duodenum"
ranitidine,H2 Blocker,Iron,BLOCKS_ABSORPTION,ESTABLISHED,Gastric acid converts Fe³⁺ to absorbable Fe²⁺; elevated pH impairs non-heme iron reduction and DMT1/SLC11A2-mediated uptake
ranitidine,H2 Blocker,Zinc,BLOCKS_ABSORPTION,PROBABLE,Zinc absorption partially pH-dependent; reduced acid may decrease Zn²⁺ liberation from food matrices and ZIP4/SLC39A4 transport
ranitidine,H2 Blocker,Magnesium,BLOCKS_ABSORPTION,PROBABLE,Chronic acid suppression associated with hypomagnesemia; impaired TRPM6/7 channel-mediated Mg²⁺ absorption in distal intestine
ranitidine,H2 Blocker,Vitamin B12,BLOCKS_ABSORPTION,ESTABLISHED,Gastric acid + pepsin required to cleave B12 from food proteins; acid suppression prevents B12 release for intrinsic factor binding
ranitidine,H2 Blocker,Folate (B9),BLOCKS_ABSORPTION,PROBABLE,Acidic pH optimizes polyglutamate hydrolysis by jejunal conjugase; elevated pH reduces folate monoglutamate generation for PCFT/SLC46A1 uptake
ranitidine,H2 Blocker,Chromium,BLOCKS_ABSORPTION,THEORETICAL,Chromium absorption may be partially pH-dependent; acid suppression could reduce Cr³⁺ solubility
ranitidine,H2 Blocker,Phosphorus,BLOCKS_ABSORPTION,THEORETICAL,Phosphate absorption partially acid-dependent for liberation from food
ranitidine,H2 Blocker,Vitamin C,NO_KNOWN,ESTABLISHED,No significant interaction; vitamin C absorption via SLC23A1 is pH-independent
cimetidine,H2 Blocker,Vitamin D,BLOCKS_ABSORPTION,PROBABLE,"Cimetidine inhibits CYP3A4 and CYP27A1, potentially reducing 25-hydroxylation of vitamin D in liver; also gastric pH effect"
prednisone,Oral Corticosteroid,Calcium,DEPLETES,ESTABLISHED,"Corticosteroids reduce intestinal Ca²⁺ absorption (downregulate TRPV6, calbindin-D9k, CaBP-28k), increase renal Ca²⁺ excretion, and stimulate osteoclast-mediated bone resorption → hypercalciuria"
prednisone,Oral Corticosteroid,Vitamin D,INCREASES_DEMAND,ESTABLISHED,"Corticosteroids accelerate CYP24A1-mediated 24-hydroxylation (inactivation) of 25(OH)D and 1,25(OH)₂D; also reduce VDR expression, creating functional vitamin D resistance"
prednisone,Oral Corticosteroid,Potassium,DEPLETES,ESTABLISHED,Mineralocorticoid activity increases renal K⁺ secretion via ENaC/ROMK in collecting duct; hypokalemia is a recognized adverse effect
prednisone,Oral Corticosteroid,Magnesium,DEPLETES,PROBABLE,Increased renal Mg²⁺ wasting via reduced TRPM6 expression in distal convoluted tubule; also redistribution into cells
prednisone,Oral Corticosteroid,Zinc,DEPLETES,PROBABLE,Corticosteroids increase urinary zinc excretion; metallothionein induction may sequester Zn²⁺ intracellularly; zinc needed for immune function already stressed by corticosteroid use
prednisone,Oral Corticosteroid,Vitamin C,DEPLETES,PROBABLE,Corticosteroids increase oxidative stress and ascorbate consumption; adrenal glands have highest vitamin C concentration and steroids increase ascorbate utilization in cortisol synthesis pathways
prednisone,Oral Corticosteroid,Vitamin B6,INCREASES_DEMAND,PROBABLE,"Corticosteroids increase tryptophan catabolism via kynurenine pathway (IDO1/TDO2 induction), which consumes PLP (B6) as cofactor; may cause functional B6 deficiency"
prednisone,Oral Corticosteroid,Chromium,DEPLETES,PROBABLE,Corticosteroid-induced insulin resistance increases chromium excretion; hyperglycemia drives urinary Cr loss
prednisone,Oral Corticosteroid,Sodium,REDISTRIBUTES,ESTABLISHED,Mineralocorticoid effect increases renal Na⁺ reabsorption; fluid retention and edema; sodium accumulates rather than depletes
prednisone,Oral Corticosteroid,Selenium,INCREASES_DEMAND,THEORETICAL,"Oxidative stress from corticosteroid use increases demand for selenoprotein-dependent antioxidant defense (GPx, TrxR)"
prednisone,Oral Corticosteroid,Phosphorus,DEPLETES,PROBABLE,Corticosteroids reduce renal phosphate reabsorption (NaPi-IIa/IIc); combined with vitamin D impairment reduces phosphorus homeostasis
prednisone,Oral Corticosteroid,Folate (B9),INCREASES_DEMAND,THEORETICAL,Increased cell turnover and immune modulation may increase folate demand for one-carbon metabolism
prednisone,Oral Corticosteroid,Iron,REDISTRIBUTES,THEORETICAL,"Corticosteroids may increase hepcidin via IL-6 modulation, sequestering iron in macrophages (functional iron deficiency pattern)"
prednisone,Oral Corticosteroid,Vitamin A,INCREASES_DEMAND,THEORETICAL,Immune modulation by corticosteroids may alter retinoid signaling; wound healing impairment partly related to vitamin A pathway disruption
prednisone,Oral Corticosteroid,Vitamin K,NO_KNOWN,ESTABLISHED,No significant direct interaction with vitamin K metabolism
prednisolone,Oral Corticosteroid,Calcium,DEPLETES,ESTABLISHED,"Corticosteroids reduce intestinal Ca²⁺ absorption (downregulate TRPV6, calbindin-D9k, CaBP-28k), increase renal Ca²⁺ excretion, and stimulate osteoclast-mediated bone resorption → hypercalciuria"
prednisolone,Oral Corticosteroid,Vitamin D,INCREASES_DEMAND,ESTABLISHED,"Corticosteroids accelerate CYP24A1-mediated 24-hydroxylation (inactivation) of 25(OH)D and 1,25(OH)₂D; also reduce VDR expression, creating functional vitamin D resistance"
prednisolone,Oral Corticosteroid,Potassium,DEPLETES,ESTABLISHED,Mineralocorticoid activity increases renal K⁺ secretion via ENaC/ROMK in collecting duct; hypokalemia is a recognized adverse effect
prednisolone,Oral Corticosteroid,Magnesium,DEPLETES,PROBABLE,Increased renal Mg²⁺ wasting via reduced TRPM6 expression in distal convoluted tubule; also redistribution into cells
prednisolone,Oral Corticosteroid,Zinc,DEPLETES,PROBABLE,Corticosteroids increase urinary zinc excretion; metallothionein induction may sequester Zn²⁺ intracellularly; zinc needed for immune function already stressed by corticosteroid use
prednisolone,Oral Corticosteroid,Vitamin C,DEPLETES,PROBABLE,Corticosteroids increase oxidative stress and ascorbate consumption; adrenal glands have highest vitamin C concentration and steroids increase ascorbate utilization in cortisol synthesis pathways
prednisolone,Oral Corticosteroid,Vitamin B6,INCREASES_DEMAND,PROBABLE,"Corticosteroids increase tryptophan catabolism via kynurenine pathway (IDO1/TDO2 induction), which consumes PLP (B6) as cofactor; may cause functional B6 deficiency"
prednisolone,Oral Corticosteroid,Chromium,DEPLETES,PROBABLE,Corticosteroid-induced insulin resistance increases chromium excretion; hyperglycemia drives urinary Cr loss
prednisolone,Oral Corticosteroid,Sodium,REDISTRIBUTES,ESTABLISHED,Mineralocorticoid effect increases renal Na⁺ reabsorption; fluid retention and edema; sodium accumulates rather than depletes
prednisolone,Oral Corticosteroid,Selenium,INCREASES_DEMAND,THEORETICAL,"Oxidative stress from corticosteroid use increases demand for selenoprotein-dependent antioxidant defense (GPx, TrxR)"
prednisolone,Oral Corticosteroid,Phosphorus,DEPLETES,PROBABLE,Corticosteroids reduce renal phosphate reabsorption (NaPi-IIa/IIc); combined with vitamin D impairment reduces phosphorus homeostasis
prednisolone,Oral Corticosteroid,Folate (B9),INCREASES_DEMAND,THEORETICAL,Increased cell turnover and immune modulation may increase folate demand for one-carbon metabolism
